type	taxid
plasmids	2428
plasmids	36549
plasmids	2437
plasmids	2438
plasmids	2439
plasmids	2440
plasmids	2441
plasmids	2442
plasmids	2443
plasmids	2446
plasmids	2447
plasmids	2448
plasmids	2449
plasmids	2450
plasmids	2451
plasmids	2452
plasmids	2453
plasmids	2454
plasmids	2455
plasmids	2456
plasmids	2457
plasmids	2458
plasmids	2459
plasmids	2460
plasmids	2461
plasmids	2462
plasmids	2463
plasmids	2464
plasmids	2465
plasmids	2466
plasmids	2467
plasmids	2468
plasmids	2469
plasmids	2470
plasmids	2471
plasmids	2472
plasmids	2473
plasmids	2474
plasmids	2476
plasmids	2477
plasmids	2478
plasmids	2479
plasmids	2480
plasmids	2481
plasmids	2482
plasmids	2483
plasmids	2484
plasmids	2485
plasmids	2486
plasmids	2487
plasmids	2488
plasmids	2489
plasmids	2490
plasmids	2491
plasmids	2492
plasmids	2493
plasmids	2494
plasmids	2495
plasmids	2496
plasmids	2497
plasmids	2498
plasmids	2499
plasmids	2500
plasmids	2501
plasmids	2502
plasmids	2503
plasmids	2504
plasmids	2505
plasmids	2506
plasmids	2507
plasmids	2508
plasmids	2509
plasmids	2510
plasmids	2511
plasmids	2512
plasmids	2513
plasmids	2514
plasmids	2515
plasmids	2516
plasmids	2518
plasmids	2520
plasmids	2522
plasmids	2523
plasmids	2524
plasmids	2525
plasmids	2526
plasmids	2527
plasmids	2528
plasmids	2530
plasmids	2531
plasmids	2532
plasmids	2534
plasmids	2535
plasmids	2536
plasmids	2538
plasmids	2540
plasmids	2541
plasmids	2542
plasmids	2543
plasmids	2544
plasmids	2546
plasmids	2547
plasmids	2548
plasmids	2549
plasmids	2550
plasmids	2551
plasmids	2552
plasmids	2553
plasmids	2554
plasmids	2555
plasmids	2556
plasmids	2557
plasmids	2558
plasmids	2560
plasmids	2561
plasmids	2562
plasmids	2564
plasmids	2565
plasmids	2566
plasmids	2567
plasmids	2568
plasmids	2570
plasmids	2571
plasmids	2573
plasmids	2574
plasmids	2575
plasmids	2576
plasmids	2577
plasmids	2578
plasmids	2580
plasmids	2581
plasmids	2582
plasmids	2584
plasmids	2585
plasmids	2586
plasmids	2588
plasmids	2589
plasmids	2590
plasmids	2591
plasmids	2592
plasmids	2593
plasmids	2594
plasmids	2595
plasmids	2596
plasmids	2597
plasmids	2598
plasmids	2599
plasmids	2600
plasmids	2604
plasmids	2605
plasmids	2606
plasmids	2607
plasmids	2608
plasmids	2609
plasmids	2611
plasmids	2612
plasmids	2613
plasmids	2616
plasmids	2618
plasmids	2619
plasmids	2620
plasmids	2621
plasmids	2622
plasmids	2623
plasmids	2624
plasmids	2625
plasmids	2626
plasmids	2627
plasmids	2628
plasmids	2629
plasmids	2630
plasmids	2631
plasmids	2632
plasmids	2633
plasmids	2636
plasmids	2637
plasmids	2638
plasmids	2639
plasmids	2641
plasmids	2642
plasmids	2643
plasmids	2645
plasmids	2646
plasmids	2647
plasmids	2648
plasmids	2649
plasmids	2650
plasmids	2651
plasmids	2652
plasmids	2653
plasmids	2655
plasmids	2656
plasmids	2657
plasmids	2658
plasmids	2659
plasmids	2660
plasmids	2661
plasmids	2662
plasmids	2663
plasmids	2664
plasmids	2665
plasmids	2666
plasmids	28391
plasmids	28394
plasmids	28398
plasmids	28399
plasmids	28400
plasmids	28401
plasmids	28402
plasmids	28404
plasmids	28405
plasmids	28406
plasmids	28407
plasmids	28411
plasmids	28412
plasmids	28414
plasmids	28417
plasmids	28424
plasmids	28425
plasmids	28426
plasmids	28427
plasmids	28430
plasmids	31882
plasmids	31885
plasmids	31888
plasmids	31891
plasmids	32646
plasmids	32651
plasmids	32652
plasmids	32654
plasmids	33799
